user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected
,,,,,,,,,,,,,,,,,,,0,28,7500,0.0037333333333333333,0,,,
,,,,,,,,,,,,,,,,,,,0,94,433,0.21709006928406466,4,,,
,,,,,,,,,,,,,,,,,,,54,591,629,0.9395866454689984,21,,,
,,,,,,,,,,,,,,,,,,,100,1400,1600,0.875,578,,,
,,,,,,,,,,,,,,,,,,,0,47,542,0.08671586715867159,12,,,
,,,,,,,,,,,,,,,,,,,9,224,7300,0.030684931506849315,7,,,
,,,,,,,,,,,,,,,,,,,147,118,235,0.502127659574468,67,,,
,,,,,,,,,,,,,,,,,,,177,134,371,0.3611859838274933,196,,,
,,,,,,,,,,,,,,,,,,,0,67,274,0.24452554744525548,10,,,
,,,,,,,,,,,,,,,,,,,0,734,6900,0.1063768115942029,31,,,
,,,,,,,,,,,,,,,,,,,0,28,97,0.28865979381443296,1,,,
,,,,,,,,,,,,,,,,,,,0,552,3000,0.184,14,,,
,,,,,,,,,,,,,,,,,,,0,57,37,1.5405405405405406,3,,,
,,,,,,,,,,,,,,,,,,,41,450,7400,0.060810810810810814,23,,,
,,,,,,,,,,,,,,,,,,,179,832,7500,0.11093333333333333,2600,,,
,,,,,,,,,,,,,,,,,,,15,1700,849,2.0023557126030624,78,,,
,,,,,,,,,,,,,,,,,,,193,7000,4900,1.4285714285714286,761,,,
,,,,,,,,,,,,,,,,,,,149,524,1100,0.4763636363636364,673,,,
,,,,,,,,,,,,,,,,,,,86,1400,1100,1.2727272727272727,185,,,
,,,,,,,,,,,,,,,,,,,0,318,5100,0.06235294117647059,3,,,
,,,,,,,,,,,,,,,,,,,0,63,330,0.19090909090909092,6,,,
,,,,,,,,,,,,,,,,,,,0,115,6700,0.017164179104477612,0,,,
,,,,,,,,,,,,,,,,,,,0,327,2000,0.1635,91,,,
,,,,,,,,,,,,,,,,,,,0,149,1500,0.09933333333333333,11,,,
,,,,,,,,,,,,,,,,,,,12,848,1400,0.6057142857142858,474,,,
,,,,,,,,,,,,,,,,,,,0,61,82,0.7439024390243902,4,,,
,,,,,,,,,,,,,,,,,,,48,537,3100,0.1732258064516129,4,,,
,,,,,,,,,,,,,,,,,,,84,1300,2400,0.5416666666666666,64,,,
,,,,,,,,,,,,,,,,,,,2,114,233,0.4892703862660944,3,,,
,,,,,,,,,,,,,,,,,,,149,1200,5900,0.2033898305084746,2,,,
,,,,,,,,,,,,,,,,,,,145,80,403,0.19851116625310175,180,,,
,,,,,,,,,,,,,,,,,,,72,609,1000,0.609,34,,,
,,,,,,,,,,,,,,,,,,,110,2100,54,38.888888888888886,35,,,
,,,,,,,,,,,,,,,,,,,23,40,312,0.1282051282051282,5,,,
,,,,,,,,,,,,,,,,,,,16,1100,1400,0.7857142857142857,25,,,
,,,,,,,,,,,,,,,,,,,68,475,7200,0.06597222222222222,81,,,
,,,,,,,,,,,,,,,,,,,146,57,7300,0.007808219178082192,2,,,
,,,,,,,,,,,,,,,,,,,155,487,1500,0.32466666666666666,59,,,
,,,,,,,,,,,,,,,,,,,10,240,1200,0.2,42,,,
,,,,,,,,,,,,,,,,,,,93,185,2600,0.07115384615384615,6,,,
,,,,,,,,,,,,,,,,,,,130,1300,3400,0.38235294117647056,1400,,,
,,,,,,,,,,,,,,,,,,,0,0,165,0.0,0,,,
,,,,,,,,,,,,,,,,,,,0,816,7300,0.11178082191780822,38,,,
,,,,,,,,,,,,,,,,,,,168,3900,1100,3.5454545454545454,249,,,
,,,,,,,,,,,,,,,,,,,150,613,731,0.8385772913816689,36,,,
,,,,,,,,,,,,,,,,,,,0,114,525,0.21714285714285714,27,,,
,,,,,,,,,,,,,,,,,,,8,191,1300,0.14692307692307693,18,,,
,,,,,,,,,,,,,,,,,,,0,130,1100,0.11818181818181818,2,,,
,,,,,,,,,,,,,,,,,,,0,25,170,0.14705882352941177,8,,,
,,,,,,,,,,,,,,,,,,,0,75,6400,0.01171875,0,,,
,,,,,,,,,,,,,,,,,,,128,99,721,0.13730929264909847,20,,,
,,,,,,,,,,,,,,,,,,,0,568,3500,0.16228571428571428,93,,,
,,,,,,,,,,,,,,,,,,,0,88,245,0.35918367346938773,1,,,
,,,,,,,,,,,,,,,,,,,19,347,326,1.0644171779141105,51,,,
,,,,,,,,,,,,,,,,,,,79,1100,5100,0.21568627450980393,4,,,
,,,,,,,,,,,,,,,,,,,155,64,365,0.17534246575342466,33,,,
,,,,,,,,,,,,,,,,,,,8,99,206,0.48058252427184467,17,,,
,,,,,,,,,,,,,,,,,,,0,672,7300,0.09205479452054795,39,,,
,,,,,,,,,,,,,,,,,,,7,548,1300,0.42153846153846153,128,,,
,,,,,,,,,,,,,,,,,,,0,17,50,0.34,3,,,
,,,,,,,,,,,,,,,,,,,154,1300,1300,1.0,1900,,,
,,,,,,,,,,,,,,,,,,,95,548,432,1.2685185185185186,26,,,
,,,,,,,,,,,,,,,,,,,176,122,252,0.48412698412698413,31,,,
,,,,,,,,,,,,,,,,,,,22,406,657,0.6179604261796042,57,,,
,,,,,,,,,,,,,,,,,,,0,21,65,0.3230769230769231,15,,,
,,,,,,,,,,,,,,,,,,,0,618,293,2.1092150170648463,152,,,
,,,,,,,,,,,,,,,,,,,0,30,149,0.20134228187919462,3,,,
,,,,,,,,,,,,,,,,,,,143,476,1300,0.36615384615384616,372,,,
,,,,,,,,,,,,,,,,,,,34,122,124,0.9838709677419355,7,,,
,,,,,,,,,,,,,,,,,,,0,37,7300,0.005068493150684932,1,,,
,,,,,,,,,,,,,,,,,,,156,97,208,0.46634615384615385,82,,,
,,,,,,,,,,,,,,,,,,,29,1200,1200,1.0,24,,,
,,,,,,,,,,,,,,,,,,,108,2100,1100,1.9090909090909092,4800,,,
,,,,,,,,,,,,,,,,,,,86,48,39,1.2307692307692308,4,,,
,,,,,,,,,,,,,,,,,,,60,49,247,0.19838056680161945,9,,,
,,,,,,,,,,,,,,,,,,,0,197,1100,0.17909090909090908,57,,,
,,,,,,,,,,,,,,,,,,,148,58,172,0.3372093023255814,141,,,
,,,,,,,,,,,,,,,,,,,0,62,1700,0.036470588235294116,2,,,
,,,,,,,,,,,,,,,,,,,45,383,2700,0.14185185185185184,16,,,
,,,,,,,,,,,,,,,,,,,0,85,500,0.17,9,,,
,,,,,,,,,,,,,,,,,,,163,996,4000,0.249,113,,,
,,,,,,,,,,,,,,,,,,,106,105,564,0.18617021276595744,6,,,
,,,,,,,,,,,,,,,,,,,126,424,2300,0.18434782608695652,176,,,
,,,,,,,,,,,,,,,,,,,65,463,2400,0.19291666666666665,69,,,
,,,,,,,,,,,,,,,,,,,0,58,6600,0.008787878787878787,1,,,
,,,,,,,,,,,,,,,,,,,79,102,395,0.2582278481012658,32,,,
,,,,,,,,,,,,,,,,,,,66,1400,1100,1.2727272727272727,26,,,
,,,,,,,,,,,,,,,,,,,20,501,2500,0.2004,74,,,
,,,,,,,,,,,,,,,,,,,0,159,527,0.301707779886148,6,,,
,,,,,,,,,,,,,,,,,,,0,134,6500,0.020615384615384615,152,,,
,,,,,,,,,,,,,,,,,,,34,691,747,0.9250334672021419,52,,,
,,,,,,,,,,,,,,,,,,,0,105,349,0.3008595988538682,34,,,
,,,,,,,,,,,,,,,,,,,189,1500,6000,0.25,212,,,
,,,,,,,,,,,,,,,,,,,52,747,491,1.5213849287169043,257,,,
,,,,,,,,,,,,,,,,,,,120,112,380,0.29473684210526313,5,,,
,,,,,,,,,,,,,,,,,,,0,615,3900,0.1576923076923077,26,,,
,,,,,,,,,,,,,,,,,,,0,449,789,0.5690747782002535,138,,,
,,,,,,,,,,,,,,,,,,,136,2300,3100,0.7419354838709677,159,,,
,,,,,,,,,,,,,,,,,,,0,99,312,0.3173076923076923,5,,,
,,,,,,,,,,,,,,,,,,,82,271,1900,0.14263157894736841,117,,,
,,,,,,,,,,,,,,,,,,,0,114,469,0.24307036247334754,54,,,
,,,,,,,,,,,,,,,,,,,85,341,438,0.7785388127853882,176,,,
,,,,,,,,,,,,,,,,,,,0,111,196,0.5663265306122449,1,,,
,,,,,,,,,,,,,,,,,,,96,2400,6900,0.34782608695652173,778,,,
,,,,,,,,,,,,,,,,,,,0,109,363,0.3002754820936639,1,,,
,,,,,,,,,,,,,,,,,,,0,444,954,0.46540880503144655,264,,,
,,,,,,,,,,,,,,,,,,,0,142,359,0.3955431754874652,2,,,
,,,,,,,,,,,,,,,,,,,0,31,7500,0.0041333333333333335,0,,,
,,,,,,,,,,,,,,,,,,,60,363,1200,0.3025,68,,,
,,,,,,,,,,,,,,,,,,,0,74,56,1.3214285714285714,58,,,
,,,,,,,,,,,,,,,,,,,0,53,74,0.7162162162162162,1,,,
,,,,,,,,,,,,,,,,,,,80,218,1200,0.18166666666666667,88,,,
,,,,,,,,,,,,,,,,,,,0,15,394,0.03807106598984772,1,,,
,,,,,,,,,,,,,,,,,,,0,74,6400,0.0115625,0,,,
,,,,,,,,,,,,,,,,,,,22,209,351,0.5954415954415955,16,,,
,,,,,,,,,,,,,,,,,,,206,934,7500,0.12453333333333333,19,,,
,,,,,,,,,,,,,,,,,,,10,304,600,0.5066666666666667,18,,,
,,,,,,,,,,,,,,,,,,,168,27600,529,52.17391304347826,691,,,
,,,,,,,,,,,,,,,,,,,0,339,522,0.6494252873563219,35,,,
,,,,,,,,,,,,,,,,,,,66,752,511,1.471624266144814,3,,,
,,,,,,,,,,,,,,,,,,,65,849,1800,0.4716666666666667,2100,,,
,,,,,,,,,,,,,,,,,,,146,1700,2100,0.8095238095238095,264,,,
,,,,,,,,,,,,,,,,,,,0,84,562,0.1494661921708185,1,,,
,,,,,,,,,,,,,,,,,,,165,267,7400,0.03608108108108108,23,,,
,,,,,,,,,,,,,,,,,,,0,175,197,0.8883248730964467,297,,,
,,,,,,,,,,,,,,,,,,,0,4,103,0.038834951456310676,0,,,
,,,,,,,,,,,,,,,,,,,144,20900,5600,3.732142857142857,224,,,
,,,,,,,,,,,,,,,,,,,32,49,292,0.1678082191780822,7,,,
,,,,,,,,,,,,,,,,,,,116,283,1000,0.283,138,,,
,,,,,,,,,,,,,,,,,,,174,292,7300,0.04,40,,,
,,,,,,,,,,,,,,,,,,,18,23,149,0.15436241610738255,0,,,
,,,,,,,,,,,,,,,,,,,77,133,388,0.3427835051546392,799,,,
,,,,,,,,,,,,,,,,,,,0,49,320,0.153125,2,,,
,,,,,,,,,,,,,,,,,,,60,342,338,1.0118343195266273,53,,,
,,,,,,,,,,,,,,,,,,,150,49,14,3.5,29,,,
,,,,,,,,,,,,,,,,,,,0,140,7500,0.018666666666666668,6,,,
,,,,,,,,,,,,,,,,,,,112,283,574,0.4930313588850174,78,,,
,,,,,,,,,,,,,,,,,,,15,697,1100,0.6336363636363637,31,,,
,,,,,,,,,,,,,,,,,,,0,114,71,1.6056338028169015,20,,,
,,,,,,,,,,,,,,,,,,,152,360,2100,0.17142857142857143,205,,,
,,,,,,,,,,,,,,,,,,,149,1100,7500,0.14666666666666667,847,,,
,,,,,,,,,,,,,,,,,,,167,2200,7500,0.29333333333333333,254,,,
,,,,,,,,,,,,,,,,,,,0,299,6900,0.043333333333333335,27,,,
,,,,,,,,,,,,,,,,,,,0,113,923,0.12242686890574214,3,,,
,,,,,,,,,,,,,,,,,,,110,184,491,0.37474541751527496,186,,,
,,,,,,,,,,,,,,,,,,,96,5500,571,9.632224168126095,535,,,
,,,,,,,,,,,,,,,,,,,196,593,7200,0.08236111111111111,69,,,
,,,,,,,,,,,,,,,,,,,50,3200,990,3.2323232323232323,198,,,
,,,,,,,,,,,,,,,,,,,3,359,1100,0.32636363636363636,20,,,
,,,,,,,,,,,,,,,,,,,0,117,6400,0.01828125,0,,,
,,,,,,,,,,,,,,,,,,,123,106,388,0.27319587628865977,43,,,
,,,,,,,,,,,,,,,,,,,35,710,38,18.68421052631579,103,,,
,,,,,,,,,,,,,,,,,,,0,34,109,0.3119266055045872,2,,,
,,,,,,,,,,,,,,,,,,,0,3,176,0.017045454545454544,0,,,
,,,,,,,,,,,,,,,,,,,49,1600,1900,0.8421052631578947,21,,,
,,,,,,,,,,,,,,,,,,,30,158,325,0.48615384615384616,40,,,
,,,,,,,,,,,,,,,,,,,143,6600,4300,1.5348837209302326,508,,,
,,,,,,,,,,,,,,,,,,,0,126,7100,0.017746478873239435,120,,,
,,,,,,,,,,,,,,,,,,,147,941,368,2.557065217391304,65,,,
,,,,,,,,,,,,,,,,,,,166,506,430,1.1767441860465115,18,,,
,,,,,,,,,,,,,,,,,,,0,138,68,2.0294117647058822,13,,,
,,,,,,,,,,,,,,,,,,,150,653,4400,0.1484090909090909,2,,,
,,,,,,,,,,,,,,,,,,,0,582,7200,0.08083333333333333,43,,,
,,,,,,,,,,,,,,,,,,,74,172,7500,0.022933333333333333,22,,,
,,,,,,,,,,,,,,,,,,,20,133,59,2.2542372881355934,11,,,
,,,,,,,,,,,,,,,,,,,257,425,45,9.444444444444445,186,,,
,,,,,,,,,,,,,,,,,,,173,957,497,1.9255533199195172,1100,,,
,,,,,,,,,,,,,,,,,,,115,1100,1200,0.9166666666666666,415,,,
,,,,,,,,,,,,,,,,,,,0,368,552,0.6666666666666666,60,,,
,,,,,,,,,,,,,,,,,,,36,579,2100,0.2757142857142857,107,,,
,,,,,,,,,,,,,,,,,,,0,502,389,1.2904884318766068,314,,,
,,,,,,,,,,,,,,,,,,,0,107,830,0.12891566265060242,14,,,
,,,,,,,,,,,,,,,,,,,45,769,873,0.8808705612829324,534,,,
,,,,,,,,,,,,,,,,,,,0,34,3400,0.01,2,,,
,,,,,,,,,,,,,,,,,,,7,675,843,0.800711743772242,9,,,
,,,,,,,,,,,,,,,,,,,114,135,97,1.3917525773195876,73,,,
,,,,,,,,,,,,,,,,,,,0,471,7500,0.0628,23,,,
,,,,,,,,,,,,,,,,,,,0,164,7300,0.022465753424657533,21,,,
,,,,,,,,,,,,,,,,,,,0,63,20,3.15,0,,,
,,,,,,,,,,,,,,,,,,,46,1700,2500,0.68,8,,,
,,,,,,,,,,,,,,,,,,,0,78,506,0.1541501976284585,3,,,
,,,,,,,,,,,,,,,,,,,58,14,12,1.1666666666666667,35,,,
,,,,,,,,,,,,,,,,,,,134,121,154,0.7857142857142857,18,,,
,,,,,,,,,,,,,,,,,,,86,573,6000,0.0955,1,,,
,,,,,,,,,,,,,,,,,,,104,503,2300,0.21869565217391304,21,,,
,,,,,,,,,,,,,,,,,,,89,2200,7400,0.2972972972972973,4100,,,
,,,,,,,,,,,,,,,,,,,0,59,106,0.5566037735849056,23,,,
,,,,,,,,,,,,,,,,,,,0,228,225,1.0133333333333334,23,,,
,,,,,,,,,,,,,,,,,,,0,644,332,1.9397590361445782,88,,,
,,,,,,,,,,,,,,,,,,,137,515,264,1.9507575757575757,12,,,
,,,,,,,,,,,,,,,,,,,102,207,117,1.7692307692307692,132,,,
,,,,,,,,,,,,,,,,,,,0,2,81,0.024691358024691357,0,,,
,,,,,,,,,,,,,,,,,,,0,32,935,0.034224598930481284,0,,,
,,,,,,,,,,,,,,,,,,,85,179,106,1.6886792452830188,15,,,
,,,,,,,,,,,,,,,,,,,0,236,457,0.5164113785557987,24,,,
,,,,,,,,,,,,,,,,,,,8,97,639,0.15179968701095461,2,,,
,,,,,,,,,,,,,,,,,,,50,330,593,0.5564924114671164,154,,,
,,,,,,,,,,,,,,,,,,,132,23700,3500,6.771428571428571,2900,,,
,,,,,,,,,,,,,,,,,,,149,5400,5400,1.0,1000,,,
,,,,,,,,,,,,,,,,,,,68,978,2500,0.3912,2900,,,
,,,,,,,,,,,,,,,,,,,107,485,414,1.171497584541063,103,,,
,,,,,,,,,,,,,,,,,,,66,143,115,1.2434782608695651,23,,,
,,,,,,,,,,,,,,,,,,,0,2600,6600,0.3939393939393939,0,,,
,,,,,,,,,,,,,,,,,,,0,54,548,0.09854014598540146,0,,,
,,,,,,,,,,,,,,,,,,,0,920,792,1.1616161616161615,233,,,
,,,,,,,,,,,,,,,,,,,0,347,7300,0.04753424657534246,2,,,
,,,,,,,,,,,,,,,,,,,0,230,555,0.4144144144144144,3,,,
,,,,,,,,,,,,,,,,,,,11,500,2900,0.1724137931034483,17,,,
,,,,,,,,,,,,,,,,,,,66,52,115,0.45217391304347826,7,,,
,,,,,,,,,,,,,,,,,,,54,377,108,3.490740740740741,217,,,
,,,,,,,,,,,,,,,,,,,0,2,179,0.0111731843575419,0,,,
,,,,,,,,,,,,,,,,,,,0,125,7500,0.016666666666666666,9,,,
,,,,,,,,,,,,,,,,,,,72,84,34,2.4705882352941178,17,,,
,,,,,,,,,,,,,,,,,,,0,91,7500,0.012133333333333333,3,,,
,,,,,,,,,,,,,,,,,,,129,2200,4700,0.46808510638297873,168,,,
,,,,,,,,,,,,,,,,,,,96,191,1400,0.13642857142857143,56,,,
,,,,,,,,,,,,,,,,,,,11,2900,4800,0.6041666666666666,0,,,
,,,,,,,,,,,,,,,,,,,154,2300,7500,0.30666666666666664,116,,,
,,,,,,,,,,,,,,,,,,,8,994,1600,0.62125,40,,,
,,,,,,,,,,,,,,,,,,,167,307,1800,0.17055555555555554,46,,,
,,,,,,,,,,,,,,,,,,,0,2,81,0.024691358024691357,0,,,
,,,,,,,,,,,,,,,,,,,114,573,2100,0.27285714285714285,30,,,
,,,,,,,,,,,,,,,,,,,279,1500,7100,0.2112676056338028,30,,,
,,,,,,,,,,,,,,,,,,,79,691,1800,0.3838888888888889,447,,,
,,,,,,,,,,,,,,,,,,,9,77,414,0.1859903381642512,30,,,
,,,,,,,,,,,,,,,,,,,121,35,562,0.06227758007117438,12,,,
,,,,,,,,,,,,,,,,,,,28,1100,659,1.669195751138088,20,,,
,,,,,,,,,,,,,,,,,,,0,1,176,0.005681818181818182,0,,,
,,,,,,,,,,,,,,,,,,,9,136,658,0.2066869300911854,141,,,
,,,,,,,,,,,,,,,,,,,0,399,476,0.8382352941176471,24,,,
,,,,,,,,,,,,,,,,,,,36,379,714,0.530812324929972,86,,,
,,,,,,,,,,,,,,,,,,,15,259,2800,0.0925,77,,,
,,,,,,,,,,,,,,,,,,,171,643,1400,0.4592857142857143,82,,,
,,,,,,,,,,,,,,,,,,,0,103,225,0.4577777777777778,2,,,
,,,,,,,,,,,,,,,,,,,124,737,3000,0.24566666666666667,25,,,
,,,,,,,,,,,,,,,,,,,116,178,384,0.4635416666666667,43,,,
,,,,,,,,,,,,,,,,,,,0,72,123,0.5853658536585366,17,,,
,,,,,,,,,,,,,,,,,,,161,1400,6900,0.2028985507246377,129,,,
,,,,,,,,,,,,,,,,,,,116,70,71,0.9859154929577465,7,,,
,,,,,,,,,,,,,,,,,,,77,506,839,0.6030989272943981,19,,,
,,,,,,,,,,,,,,,,,,,0,370,512,0.72265625,366,,,
,,,,,,,,,,,,,,,,,,,179,174,81,2.1481481481481484,36,,,
,,,,,,,,,,,,,,,,,,,48,51800,432,119.9074074074074,2100,,,
,,,,,,,,,,,,,,,,,,,0,382,354,1.07909604519774,29,,,
,,,,,,,,,,,,,,,,,,,0,178,460,0.3869565217391304,56,,,
,,,,,,,,,,,,,,,,,,,194,510,642,0.794392523364486,5,,,
,,,,,,,,,,,,,,,,,,,151,1300,2500,0.52,18,,,
,,,,,,,,,,,,,,,,,,,0,102,140,0.7285714285714285,12,,,
,,,,,,,,,,,,,,,,,,,152,2000,671,2.9806259314456036,110,,,
,,,,,,,,,,,,,,,,,,,9,49,142,0.34507042253521125,2000,,,
,,,,,,,,,,,,,,,,,,,0,1000,1800,0.5555555555555556,18,,,
,,,,,,,,,,,,,,,,,,,82,896,856,1.0467289719626167,250,,,
,,,,,,,,,,,,,,,,,,,166,1700,1500,1.1333333333333333,1400,,,
,,,,,,,,,,,,,,,,,,,64,626,565,1.1079646017699114,13,,,
,,,,,,,,,,,,,,,,,,,50,1100,904,1.2168141592920354,180,,,
,,,,,,,,,,,,,,,,,,,175,390,7300,0.05342465753424658,12,,,
,,,,,,,,,,,,,,,,,,,101,62,7300,0.008493150684931507,2,,,
,,,,,,,,,,,,,,,,,,,86,33,13,2.5384615384615383,15,,,
,,,,,,,,,,,,,,,,,,,36,18,52,0.34615384615384615,3,,,
,,,,,,,,,,,,,,,,,,,139,499,2500,0.1996,354,,,
,,,,,,,,,,,,,,,,,,,0,434,2100,0.20666666666666667,55,,,
,,,,,,,,,,,,,,,,,,,0,205,710,0.2887323943661972,98,,,
,,,,,,,,,,,,,,,,,,,0,56,6400,0.00875,0,,,
,,,,,,,,,,,,,,,,,,,0,319,330,0.9666666666666667,52,,,
,,,,,,,,,,,,,,,,,,,287,2100,6100,0.3442622950819672,21,,,
,,,,,,,,,,,,,,,,,,,0,145,7000,0.020714285714285713,8,,,
,,,,,,,,,,,,,,,,,,,0,223,5800,0.03844827586206897,11,,,
,,,,,,,,,,,,,,,,,,,133,38,131,0.2900763358778626,5,,,
,,,,,,,,,,,,,,,,,,,122,3100,3700,0.8378378378378378,455,,,
,,,,,,,,,,,,,,,,,,,280,602,2100,0.2866666666666667,76,,,
,,,,,,,,,,,,,,,,,,,84,348,1000,0.348,97,,,
,,,,,,,,,,,,,,,,,,,156,122,7300,0.016712328767123287,4,,,
,,,,,,,,,,,,,,,,,,,0,362,6800,0.05323529411764706,0,,,
,,,,,,,,,,,,,,,,,,,42,961,1100,0.8736363636363637,135,,,
,,,,,,,,,,,,,,,,,,,131,23,46,0.5,7,,,
,,,,,,,,,,,,,,,,,,,92,522,4100,0.1273170731707317,104,,,
,,,,,,,,,,,,,,,,,,,269,881,6800,0.12955882352941175,2,,,
,,,,,,,,,,,,,,,,,,,0,224,532,0.42105263157894735,257,,,
,,,,,,,,,,,,,,,,,,,35,345,297,1.1616161616161615,298,,,
,,,,,,,,,,,,,,,,,,,160,944,2800,0.33714285714285713,178,,,
,,,,,,,,,,,,,,,,,,,70,542,1300,0.4169230769230769,22,,,
,,,,,,,,,,,,,,,,,,,38,37,7,5.285714285714286,4,,,
,,,,,,,,,,,,,,,,,,,0,1300,4600,0.2826086956521739,0,,,
,,,,,,,,,,,,,,,,,,,0,933,1600,0.583125,0,,,
,,,,,,,,,,,,,,,,,,,79,991,3300,0.3003030303030303,9,,,
,,,,,,,,,,,,,,,,,,,0,532,6800,0.07823529411764706,34,,,
,,,,,,,,,,,,,,,,,,,41,1000,3600,0.2777777777777778,121,,,
,,,,,,,,,,,,,,,,,,,0,20,49,0.40816326530612246,1,,,
,,,,,,,,,,,,,,,,,,,150,2900,5900,0.4915254237288136,709,,,
,,,,,,,,,,,,,,,,,,,8,575,821,0.7003654080389768,30,,,
,,,,,,,,,,,,,,,,,,,0,70,7400,0.00945945945945946,1,,,
,,,,,,,,,,,,,,,,,,,0,660,7000,0.09428571428571429,97,,,
,,,,,,,,,,,,,,,,,,,0,67,7000,0.009571428571428571,0,,,
,,,,,,,,,,,,,,,,,,,0,165,6600,0.025,7,,,
,,,,,,,,,,,,,,,,,,,0,24,309,0.07766990291262135,4,,,
,,,,,,,,,,,,,,,,,,,0,161,627,0.2567783094098884,9,,,
,,,,,,,,,,,,,,,,,,,57,51,135,0.37777777777777777,34,,,
,,,,,,,,,,,,,,,,,,,6,810,2200,0.36818181818181817,6,,,
,,,,,,,,,,,,,,,,,,,126,183,220,0.8318181818181818,196,,,
,,,,,,,,,,,,,,,,,,,55,2000,815,2.4539877300613497,7,,,
,,,,,,,,,,,,,,,,,,,11,1900,5600,0.3392857142857143,96,,,
,,,,,,,,,,,,,,,,,,,161,358,1400,0.2557142857142857,45,,,
,,,,,,,,,,,,,,,,,,,71,535,1400,0.3821428571428571,287,,,
,,,,,,,,,,,,,,,,,,,0,35,7300,0.004794520547945206,0,,,
,,,,,,,,,,,,,,,,,,,0,94,105,0.8952380952380953,7,,,
,,,,,,,,,,,,,,,,,,,0,211,6500,0.03246153846153846,1,,,
,,,,,,,,,,,,,,,,,,,0,105,485,0.21649484536082475,1,,,
,,,,,,,,,,,,,,,,,,,123,178,396,0.4494949494949495,81,,,
,,,,,,,,,,,,,,,,,,,105,59,5000,0.0118,8,,,
,,,,,,,,,,,,,,,,,,,38,623,3200,0.1946875,87,,,
,,,,,,,,,,,,,,,,,,,10,203600,245,831.0204081632653,944,,,
,,,,,,,,,,,,,,,,,,,14,279,1900,0.14684210526315788,3,,,
,,,,,,,,,,,,,,,,,,,54,79,204,0.3872549019607843,5,,,
,,,,,,,,,,,,,,,,,,,24,989,2000,0.4945,1200,,,
,,,,,,,,,,,,,,,,,,,102,343,85,4.035294117647059,38,,,
,,,,,,,,,,,,,,,,,,,0,206,7400,0.027837837837837838,13,,,
,,,,,,,,,,,,,,,,,,,0,207,458,0.4519650655021834,89,,,
,,,,,,,,,,,,,,,,,,,0,793,4100,0.19341463414634147,279,,,
,,,,,,,,,,,,,,,,,,,0,611,3900,0.15666666666666668,14,,,
,,,,,,,,,,,,,,,,,,,31,128,7400,0.017297297297297298,1,,,
,,,,,,,,,,,,,,,,,,,0,68,137,0.49635036496350365,1,,,
,,,,,,,,,,,,,,,,,,,40,2200,2200,1.0,103,,,
,,,,,,,,,,,,,,,,,,,157,1100,90,12.222222222222221,800,,,
,,,,,,,,,,,,,,,,,,,135,626,626,1.0,25,,,
